pokemon,attack
bulbasaur,razor wind
bulbasaur,swords dance
bulbasaur,cut
bulbasaur,bind
bulbasaur,vine whip
bulbasaur,headbutt
bulbasaur,tackle
bulbasaur,body slam
bulbasaur,take down
bulbasaur,double edge
bulbasaur,growl
bulbasaur,strength
bulbasaur,mega drain
bulbasaur,leech seed
bulbasaur,growth
bulbasaur,razor leaf
bulbasaur,solar beam
bulbasaur,poison powder
bulbasaur,sleep powder
bulbasaur,petal dance
bulbasaur,string shot
bulbasaur,toxic
bulbasaur,rage
bulbasaur,mimic
bulbasaur,double team
bulbasaur,defense curl
bulbasaur,light screen
bulbasaur,reflect
bulbasaur,bide
bulbasaur,sludge
bulbasaur,skull bash
bulbasaur,amnesia
bulbasaur,flash
bulbasaur,rest
bulbasaur,substitute
bulbasaur,snore
bulbasaur,curse
bulbasaur,protect
bulbasaur,sludge bomb
bulbasaur,mud slap
bulbasaur,outrage
bulbasaur,giga drain
bulbasaur,endure
bulbasaur,charm
bulbasaur,false swipe
bulbasaur,swagger
bulbasaur,fury cutter
bulbasaur,attract
bulbasaur,sleep talk
bulbasaur,return
bulbasaur,frustration
bulbasaur,safeguard
bulbasaur,sweet scent
bulbasaur,synthesis
bulbasaur,hidden power
bulbasaur,sunny day
bulbasaur,rock smash
bulbasaur,facade
bulbasaur,nature power
bulbasaur,helping hand
bulbasaur,ingrain
bulbasaur,knock off
bulbasaur,secret power
bulbasaur,weather ball
bulbasaur,grass whistle
bulbasaur,bullet seed
bulbasaur,magical leaf
bulbasaur,natural gift
bulbasaur,worry seed
bulbasaur,seed bomb
bulbasaur,energy ball
bulbasaur,leaf storm
bulbasaur,power whip
bulbasaur,captivate
bulbasaur,grass knot
bulbasaur,venoshock
bulbasaur,acid spray
bulbasaur,round
bulbasaur,echoed voice
bulbasaur,grass pledge
bulbasaur,work up
bulbasaur,grassy terrain
bulbasaur,confide
bulbasaur,grassy glide
bulbasaur,tera blast
bulbasaur,trailblaze
ivysaur,swords dance
ivysaur,cut
ivysaur,bind
ivysaur,vine whip
ivysaur,headbutt
ivysaur,tackle
ivysaur,body slam
ivysaur,take down
ivysaur,double edge
ivysaur,growl
ivysaur,roar
ivysaur,strength
ivysaur,mega drain
ivysaur,leech seed
ivysaur,growth
ivysaur,razor leaf
ivysaur,solar beam
ivysaur,poison powder
ivysaur,sleep powder
ivysaur,petal dance
ivysaur,string shot
ivysaur,toxic
ivysaur,rage
ivysaur,mimic
ivysaur,double team
ivysaur,defense curl
ivysaur,light screen
ivysaur,reflect
ivysaur,bide
ivysaur,amnesia
ivysaur,flash
ivysaur,rest
ivysaur,substitute
ivysaur,snore
ivysaur,curse
ivysaur,protect
ivysaur,sludge bomb
ivysaur,mud slap
ivysaur,outrage
ivysaur,giga drain
ivysaur,endure
ivysaur,charm
ivysaur,false swipe
ivysaur,swagger
ivysaur,fury cutter
ivysaur,attract
ivysaur,sleep talk
ivysaur,return
ivysaur,frustration
ivysaur,safeguard
ivysaur,sweet scent
ivysaur,synthesis
ivysaur,hidden power
ivysaur,sunny day
ivysaur,rock smash
ivysaur,facade
ivysaur,nature power
ivysaur,helping hand
ivysaur,ingrain
ivysaur,knock off
ivysaur,secret power
ivysaur,weather ball
ivysaur,bullet seed
ivysaur,magical leaf
ivysaur,natural gift
ivysaur,worry seed
ivysaur,seed bomb
ivysaur,energy ball
ivysaur,leaf storm
ivysaur,power whip
ivysaur,captivate
ivysaur,grass knot
ivysaur,venoshock
ivysaur,acid spray
ivysaur,round
ivysaur,echoed voice
ivysaur,grass pledge
ivysaur,work up
ivysaur,grassy terrain
ivysaur,confide
ivysaur,grassy glide
ivysaur,tera blast
ivysaur,trailblaze
venusaur,swords dance
venusaur,cut
