Name,Type,Cat.,Power,Acc.,PP,Effect
Aeroblast,Flying,Special,100,95,5,High critical hit ratio.
Ancient Power,Rock,Special,60,100,5,May raise all user's stats at once.
Attract,Normal,Status,\N,100,15,"If opponent is the opposite gender, it's less likely to attack."
Baton Pass,Normal,Status,\N,\N,40,User switches out and gives stat changes to the incoming Pokemon.
Beat Up,Dark,Physical,\N,100,10,Each Pokemon in user's party attacks.
Belly Drum,Normal,Status,\N,\N,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bone Rush,Ground,Physical,25,90,10,Hits 2-5 times in one turn.
Charm,Fairy,Status,\N,100,20,Sharply lowers opponent's Attack.
Conversion 2,Normal,Status,\N,\N,30,User changes type to become resistant to opponent's last move.
Cotton Spore,Grass,Status,\N,100,40,Sharply lowers opponent's Speed.
Cross Chop,Fighting,Physical,100,80,5,High critical hit ratio.
Crunch,Dark,Physical,80,100,15,May lower opponent's Defense.
Curse,Ghost,Status,\N,\N,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Destiny Bond,Ghost,Status,\N,\N,5,"If the user faints, the opponent also faints."
Detect,Fighting,Status,\N,\N,5,"Protects the user, but may fail if used consecutively."
Dragon Breath,Dragon,Special,60,100,20,May paralyze opponent.
Dynamic Punch,Fighting,Physical,100,50,5,Confuses opponent.
Encore,Normal,Status,\N,100,5,Forces opponent to keep using its last move for 3 turns.
Endure,Normal,Status,\N,\N,10,"Always left with at least 1 HP, but may fail if used consecutively."
Extreme Speed,Normal,Physical,80,100,5,User attacks first.
False Swipe,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.
Feint Attack,Dark,Status,60,\N,20,Ignores Accuracy and Evasiveness.
Flail,Normal,Special,\N,100,15,"The lower the user's HP, the higher the power."
Flame Wheel,Fire,Physical,60,100,25,May burn opponent.
Foresight,Normal,Status,\N,\N,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
Frustration,Normal,Status,\N,100,20,Power decreases with higher Friendship.
Fury Cutter,Bug,Special,40,95,20,Power increases each turn.
Future Sight,Psychic,Physical,120,100,10,Damage occurs 2 turns later.
Giga Drain,Grass,Special,75,100,10,User recovers half the HP inflicted on opponent.
Heal Bell,Normal,Status,\N,\N,5,Heals the user's party's status conditions.
Hidden Power,Normal,Status,60,100,15,Type and power depends on user's IVs.
Icy Wind,Ice,Status,55,95,15,Lowers opponent's Speed.
Iron Tail,Steel,Status,100,75,15,May lower opponent's Defense.
Lock-On,Normal,Status,\N,\N,5,User's next attack is guaranteed to hit.
Mach Punch,Fighting,Status,40,100,30,User attacks first.
Magnitude,Ground,Status,\N,100,30,Hits with random power.
Mean Look,Normal,Special,\N,\N,5,Opponent cannot flee or switch.
Megahorn,Bug,Physical,120,85,10,
Metal Claw,Steel,Status,50,95,35,May raise user's Attack.
Milk Drink,Normal,Status,\N,\N,5,User recovers half its max HP.
Mind Reader,Normal,Status,\N,\N,5,User's next attack is guaranteed to hit.
Mirror Coat,Psychic,Status,\N,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Moonlight,Fairy,Status,\N,\N,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,Status,\N,\N,5,User recovers HP. Amount varies with the weather.
Mud-Slap,Ground,Status,20,100,10,Lowers opponent's Accuracy.
Nightmare,Ghost,Status,\N,100,15,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,Status,65,85,10,May lower opponent's Accuracy.
Outrage,Dragon,Status,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pain Split,Normal,Status,\N,\N,20,The user's and opponent's HP becomes the average of both.
Perish Song,Normal,Status,\N,\N,5,Any Pokemon in play when this attack is used faints in 3 turns.
Powder Snow,Ice,Status,40,100,25,May freeze opponent.
Present,Normal,Status,\N,90,15,Either deals damage or heals.
Protect,Normal,Status,\N,\N,10,"Protects the user, but may fail if used consecutively."
Psych Up,Normal,Status,\N,\N,10,Copies the opponent's stat changes.
Pursuit,Dark,Status,40,100,20,Double power if the opponent is switching out.
Rain Dance,Water,Status,\N,\N,5,Makes it rain for 5 turns.
Rapid Spin,Normal,Status,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.
Return,Normal,Status,\N,100,20,Power increases with higher Friendship.
Reversal,Fighting,Status,\N,100,15,"The lower the user's HP, the higher the power."
Rock Smash,Fighting,Status,40,100,15,May lower opponent's Defense.
Rollout,Rock,Status,30,90,20,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,Status,100,95,5,May burn opponent.
Safeguard,Normal,Status,\N,\N,25,The user's party is protected from status conditions.
Sandstorm,Rock,Status,\N,\N,10,Creates a sandstorm for 5 turns.
Scary Face,Normal,Status,\N,100,10,Sharply lowers opponent's Speed.
Shadow Ball,Ghost,Status,80,100,15,May lower opponent's Special Defense.
Sketch,Normal,Status,\N,\N,1,Permanently copies the opponent's last move.
Sleep Talk,Normal,Status,\N,\N,10,User performs one of its own moves while sleeping.
Sludge Bomb,Poison,Status,90,100,10,May poison opponent.
Snore,Normal,Status,50,100,15,Can only be used if asleep. May cause flinching.
Spark,Electric,Status,65,100,20,May paralyze opponent.
Spider Web,Bug,Status,\N,\N,10,Opponent cannot escape/switch.
Spikes,Ground,Status,\N,\N,20,Damages opponents switching into battle.
Spite,Ghost,Status,\N,100,10,The opponent's last move loses 2-5 PP.
Steel Wing,Steel,Status,70,90,25,May raise user's Defense.
Sunny Day,Fire,Status,\N,\N,5,Makes it sunny for 5 turns.
Swagger,Normal,Status,\N,85,15,"Confuses opponent, but sharply raises its Attack."
Sweet Kiss,Fairy,Status,\N,75,10,Confuses opponent.
Sweet Scent,Normal,Status,\N,100,20,Lowers opponent's Evasiveness.
Synthesis,Grass,Status,\N,\N,5,User recovers HP. Amount varies with the weather.
Thief,Dark,Status,60,100,25,Also steals opponent's held item.
Triple Kick,Fighting,Status,10,90,10,Hits thrice in one turn at increasing power.
Twister,Dragon,Status,40,100,20,May cause flinching. Hits Pokemon using Fly/Bounce with double power.
Vital Throw,Fighting,Status,70,\N,10,"User attacks last, but ignores Accuracy and Evasiveness."
Whirlpool,Water,Status,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Zap Cannon,Electric,Status,120,50,5,Paralyzes opponent.
